Model,NVIDIA: Nemotron 3 Nano 30B A3B (free),Qwen: Qwen3 VL 30B A3B Thinking,Google: Gemma 3n 2B (free),Google: Gemma 3 4B (free),NVIDIA: Nemotron Nano 12B 2 VL (free),Google: Gemma 3n 4B (free),Qwen: Qwen3 VL 235B A22B Thinking,Google: Gemma 3 27B (free),Qwen: Qwen3 235B A22B Thinking 2507,NVIDIA: Nemotron Nano 9B V2 (free),DeepSeek: R1 0528 (free),Median Grade,Percentage
NVIDIA: Nemotron 3 Nano 30B A3B (free),A+,A-,B+,N/A,A,N/A,A-,N/A,A-,A-,A-,A-,94
Qwen: Qwen3 VL 30B A3B Thinking,A-,A-,B+,N/A,B+,N/A,B+,N/A,B+,A,N/A,B+,88
Google: Gemma 3n 2B (free),B+,B-,B+,N/A,A-,N/A,C-,N/A,B+,B-,A-,B+,88
Google: Gemma 3 4B (free),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA: Nemotron Nano 12B 2 VL (free),A-,A-,C+,N/A,A,N/A,A-,N/A,A+,A-,N/A,A-,94
Google: Gemma 3n 4B (free),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen: Qwen3 VL 235B A22B Thinking,A-,A-,C+,N/A,A-,N/A,B+,N/A,A+,N/A,A,A-,94
Google: Gemma 3 27B (free),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen: Qwen3 235B A22B Thinking 2507,A-,A-,B+,N/A,A-,N/A,A-,N/A,A-,N/A,A-,A-,94
NVIDIA: Nemotron Nano 9B V2 (free),B+,B+,C+,N/A,A-,N/A,B+,N/A,B+,N/A,A-,B+,88
DeepSeek: R1 0528 (free),A,B+,B+,N/A,A-,N/A,A-,N/A,A-,N/A,A-,A-,94
